trial_id,combination_id,risk_probability,risk_reward,safe_reward,expected_value,size_condition
1,1,25,120,10,30,both-large
2,1,25,120,14,30,both-large
3,1,25,120,18,30,both-large
4,1,25,120,22,30,both-large
5,1,25,120,26,30,both-large
6,1,25,120,30,30,both-large
7,1,25,120,34,30,both-large
8,2,50,120,20,60,both-large
9,2,50,120,28,60,both-large
10,2,50,120,36,60,both-large
11,2,50,120,44,60,both-large
12,2,50,120,52,60,both-large
13,2,50,120,60,60,both-large
14,2,50,120,68,60,both-large
15,3,75,120,30,90,both-large
16,3,75,120,42,90,both-large
17,3,75,120,54,90,both-large
18,3,75,120,66,90,both-large
19,3,75,120,78,90,both-large
20,3,75,120,90,90,both-large
21,3,75,120,102,90,both-large
22,4,25,180,15,45,both-large
23,4,25,180,21,45,both-large
24,4,25,180,27,45,both-large
25,4,25,180,33,45,both-large
26,4,25,180,39,45,both-large
27,4,25,180,45,45,both-large
28,4,25,180,51,45,both-large
29,5,50,180,30,90,both-large
30,5,50,180,42,90,both-large
31,5,50,180,54,90,both-large
32,5,50,180,66,90,both-large
33,5,50,180,78,90,both-large
34,5,50,180,90,90,both-large
35,5,50,180,102,90,both-large
36,6,75,180,45,135,both-large
37,6,75,180,63,135,both-large
38,6,75,180,81,135,both-large
39,6,75,180,99,135,both-large
40,6,75,180,117,135,both-large
41,6,75,180,135,135,both-large
42,6,75,180,153,135,both-large
43,7,25,300,25,75,both-large
44,7,25,300,35,75,both-large
45,7,25,300,45,75,both-large
46,7,25,300,55,75,both-large
47,7,25,300,65,75,both-large
48,7,25,300,75,75,both-large
49,7,25,300,85,75,both-large
50,8,50,300,50,150,both-large
51,8,50,300,70,150,both-large
52,8,50,300,90,150,both-large
53,8,50,300,110,150,both-large
54,8,50,300,130,150,both-large
55,8,50,300,150,150,both-large
56,8,50,300,170,150,both-large
57,9,75,300,75,225,both-large
58,9,75,300,105,225,both-large
59,9,75,300,135,225,both-large
60,9,75,300,165,225,both-large
61,9,75,300,195,225,both-large
62,9,75,300,225,225,both-large
63,9,75,300,255,225,both-large
64,10,25,160,13.3333,40,both-large
65,10,25,160,18.6667,40,both-large
66,10,25,160,24,40,both-large
67,10,25,160,29.3333,40,both-large
68,10,25,160,34.6667,40,both-large
69,10,25,160,40,40,both-large
70,10,25,160,45.3333,40,both-large
71,11,50,160,26.6667,80,both-large
72,11,50,160,37.3333,80,both-large
73,11,50,160,48,80,both-large
74,11,50,160,58.6667,80,both-large
75,11,50,160,69.3333,80,both-large
76,11,50,160,80,80,both-large
77,11,50,160,90.6667,80,both-large
78,12,75,160,40,120,both-large
79,12,75,160,56,120,both-large
80,12,75,160,72,120,both-large
81,12,75,160,88,120,both-large
82,12,75,160,104,120,both-large
83,12,75,160,120,120,both-large
84,12,75,160,136,120,both-large
85,13,25,200,16.6667,50,both-large
86,13,25,200,23.3333,50,both-large
87,13,25,200,30,50,both-large
88,13,25,200,36.6667,50,both-large
89,13,25,200,43.3333,50,both-large
90,13,25,200,50,50,both-large
91,13,25,200,56.6667,50,both-large
92,14,50,200,33.3333,100,both-large
93,14,50,200,46.6667,100,both-large
94,14,50,200,60,100,both-large
95,14,50,200,73.3333,100,both-large
96,14,50,200,86.6667,100,both-large
97,14,50,200,100,100,both-large
98,14,50,200,113.3333,100,both-large
99,15,75,200,50,150,both-large
100,15,75,200,70,150,both-large
101,15,75,200,90,150,both-large
102,15,75,200,110,150,both-large
103,15,75,200,130,150,both-large
104,15,75,200,150,150,both-large
105,15,75,200,170,150,both-large
106,16,25,720,60,180,both-large
107,16,25,720,84,180,both-large
108,16,25,720,108,180,both-large
109,16,25,720,132,180,both-large
110,16,25,720,156,180,both-large
111,16,25,720,180,180,both-large
112,16,25,720,204,180,both-large
113,17,50,720,120,360,both-large
114,17,50,720,168,360,both-large
115,17,50,720,216,360,both-large
116,17,50,720,264,360,both-large
117,17,50,720,312,360,both-large
118,17,50,720,360,360,both-large
119,17,50,720,408,360,both-large
120,18,75,720,180,540,both-large
121,18,75,720,252,540,both-large
122,18,75,720,324,540,both-large
123,18,75,720,396,540,both-large
124,18,75,720,468,540,both-large
125,18,75,720,540,540,both-large
126,18,75,720,612,540,both-large
