phase2_trial,combination_id,risk_probability,risk_reward,expected_value,size_condition
1,1,25,120,30,both-small
2,1,25,120,30,both-large
3,1,25,120,30,risk-large
4,1,25,120,30,safe-large
5,2,50,120,60,both-small
6,2,50,120,60,both-large
7,2,50,120,60,risk-large
8,2,50,120,60,safe-large
9,3,75,120,90,both-small
10,3,75,120,90,both-large
11,3,75,120,90,risk-large
12,3,75,120,90,safe-large
13,4,25,180,45,both-small
14,4,25,180,45,both-large
15,4,25,180,45,risk-large
16,4,25,180,45,safe-large
17,5,50,180,90,both-small
18,5,50,180,90,both-large
19,5,50,180,90,risk-large
20,5,50,180,90,safe-large
21,6,75,180,135,both-small
22,6,75,180,135,both-large
23,6,75,180,135,risk-large
24,6,75,180,135,safe-large
25,7,25,300,75,both-small
26,7,25,300,75,both-large
27,7,25,300,75,risk-large
28,7,25,300,75,safe-large
29,8,50,300,150,both-small
30,8,50,300,150,both-large
31,8,50,300,150,risk-large
32,8,50,300,150,safe-large
33,9,75,300,225,both-small
34,9,75,300,225,both-large
35,9,75,300,225,risk-large
36,9,75,300,225,safe-large
37,10,25,160,40,both-small
38,10,25,160,40,both-large
39,10,25,160,40,risk-large
40,10,25,160,40,safe-large
41,11,50,160,80,both-small
42,11,50,160,80,both-large
43,11,50,160,80,risk-large
44,11,50,160,80,safe-large
45,12,75,160,120,both-small
46,12,75,160,120,both-large
47,12,75,160,120,risk-large
48,12,75,160,120,safe-large
49,13,25,200,50,both-small
50,13,25,200,50,both-large
51,13,25,200,50,risk-large
52,13,25,200,50,safe-large
53,14,50,200,100,both-small
54,14,50,200,100,both-large
55,14,50,200,100,risk-large
56,14,50,200,100,safe-large
57,15,75,200,150,both-small
58,15,75,200,150,both-large
59,15,75,200,150,risk-large
60,15,75,200,150,safe-large
61,16,25,720,180,both-small
62,16,25,720,180,both-large
63,16,25,720,180,risk-large
64,16,25,720,180,safe-large
65,17,50,720,360,both-small
66,17,50,720,360,both-large
67,17,50,720,360,risk-large
68,17,50,720,360,safe-large
69,18,75,720,540,both-small
70,18,75,720,540,both-large
71,18,75,720,540,risk-large
72,18,75,720,540,safe-large
